Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TC_Amazon_Validating_DropDownBox_005,Chrome 121.0.0.0,,,04-02-2024 16:38:38,04-02-2024 16:39:17,38.921s,ERROR
,,,,,,,
Test Cases/Keywords/TC_Amazon_Validating_DropDownBox_005,Chrome 121.0.0.0,,,04-02-2024 16:39:17,04-02-2024 16:39:17,0.270s,ERROR
Start listener action : sampleBeforeTestCase,Chrome 121.0.0.0,,,04-02-2024 16:39:17,04-02-2024 16:39:17,0.092s,ERROR
"com.qa.test.customFunctions.CheckDropDownListElementExist(findTestObject(""Page_Amazon.com. Spend less. Smile more/CategoryOR""), """")",Chrome 121.0.0.0,,,04-02-2024 16:39:17,04-02-2024 16:39:17,0.089s,ERROR
Start listener action : sampleAfterTestCase,Chrome 121.0.0.0,,,04-02-2024 16:39:17,04-02-2024 16:39:17,0.071s,ERROR
