Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TC_Amazon_Validating_DropDownBox_005,Chrome 121.0.0.0,,,04-02-2024 16:39:51,04-02-2024 16:40:55,1m - 3.145s,ERROR
,,,,,,,
Test Cases/Keywords/TC_Amazon_Validating_DropDownBox_005,Chrome 121.0.0.0,,,04-02-2024 16:40:54,04-02-2024 16:40:55,0.318s,ERROR
Start listener action : sampleBeforeTestCase,Chrome 121.0.0.0,,,04-02-2024 16:40:54,04-02-2024 16:40:54,0.100s,ERROR
"com.qa.test.customFunctions.CheckDropDownListElementExist(findTestObject(""Page_Amazon.com. Spend less. Smile more/CategoryOR""), """")",Chrome 121.0.0.0,,,04-02-2024 16:40:54,04-02-2024 16:40:54,0.108s,ERROR
Start listener action : sampleAfterTestCase,Chrome 121.0.0.0,,,04-02-2024 16:40:54,04-02-2024 16:40:55,0.085s,ERROR
