Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TC_Amazon_validating_ListOfCountries_footerlinks-003,Chrome 121.0.0.0,,,06-02-2024 13:36:16,06-02-2024 13:37:03,46.414s,PASSED
,,,,,,,
Test Cases/Amazon_testcases/TC_Amazon_validating_ListOfCountries_footerlinks-003,Chrome 121.0.0.0,,,06-02-2024 13:36:20,06-02-2024 13:37:03,42.727s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 121.0.0.0,,,06-02-2024 13:36:20,06-02-2024 13:36:39,19.066s,PASSED
"openBrowser("""")",Chrome 121.0.0.0,,,06-02-2024 13:36:39,06-02-2024 13:36:40,1.004s,PASSED
"navigateToUrl(""https://www.amazon.com/"")",Chrome 121.0.0.0,,,06-02-2024 13:36:40,06-02-2024 13:36:42,1.990s,PASSED
"click(findTestObject(""Object Repository/AmazonPages_ListOfCountries_OR/Page_Amazon.com. Spend less. Smile more/a_United States""))",Chrome 121.0.0.0,,,06-02-2024 13:36:42,06-02-2024 13:37:00,17.697s,PASSED
"click(findTestObject(""Object Repository/AmazonPages_ListOfCountries_OR/Page_Go to website/span_United States""))",Chrome 121.0.0.0,,,06-02-2024 13:37:00,06-02-2024 13:37:01,1.133s,PASSED
"click(findTestObject(""Object Repository/AmazonPages_ListOfCountries_OR/Page_Go to website/a_India""))",Chrome 121.0.0.0,,,06-02-2024 13:37:01,06-02-2024 13:37:02,0.881s,PASSED
"click(findTestObject(""Object Repository/AmazonPages_ListOfCountries_OR/Page_Go to website/input_a-button-input""))",Chrome 121.0.0.0,,,06-02-2024 13:37:02,06-02-2024 13:37:02,0.555s,PASSED
closeBrowser(),Chrome 121.0.0.0,,,06-02-2024 13:37:02,06-02-2024 13:37:03,0.204s,PASSED
Start listener action : sampleAfterTestCase,Chrome 121.0.0.0,,,06-02-2024 13:37:03,06-02-2024 13:37:03,0.078s,ERROR
