Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"click(findTestObject(""Object Repository/AmazonPages_searchOR/Page_Amazon.com. Spend less. Smile more/inputnav-search-submit-button""))",Chrome 121.0.0.0,,,04-02-2024 20:03:31,04-02-2024 20:04:00,28.756s,PASSED
closeBrowser(),Chrome 121.0.0.0,,,04-02-2024 20:04:00,04-02-2024 20:04:00,0.185s,PASSED
Start listener action : sampleAfterTestCase,Chrome 121.0.0.0,,,04-02-2024 20:04:00,04-02-2024 20:04:00,0.034s,ERROR
,,,,,,,
Test Cases/Data_driven_testing/TC_amazon_validate_search_item_With_ExcelSheet_001,Chrome 121.0.0.0,,,04-02-2024 20:04:00,04-02-2024 20:04:26,25.933s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 121.0.0.0,,,04-02-2024 20:04:00,04-02-2024 20:04:00,0.037s,ERROR
"openBrowser("""")",Chrome 121.0.0.0,,,04-02-2024 20:04:00,04-02-2024 20:04:01,0.803s,PASSED
"navigateToUrl(""https://www.amazon.com/"")",Chrome 121.0.0.0,,,04-02-2024 20:04:01,04-02-2024 20:04:03,1.922s,PASSED
"selectOptionByLabel(findTestObject(""Object Repository/AmazonPages_searchOR/Page_Amazon.com. Spend less. Smile more/select_All Departments        Arts  Crafts _135c92""), category, false)",Chrome 121.0.0.0,,,04-02-2024 20:04:03,04-02-2024 20:04:18,15.040s,PASSED
"setText(findTestObject(""Object Repository/AmazonPages_searchOR/Page_Amazon.com. Spend less. Smile more/input_field-keywords""), Item)",Chrome 121.0.0.0,,,04-02-2024 20:04:18,04-02-2024 20:04:19,1.114s,PASSED
"click(findTestObject(""Object Repository/AmazonPages_searchOR/Page_Amazon.com. Spend less. Smile more/inputnav-search-submit-button""))",Chrome 121.0.0.0,,,04-02-2024 20:04:19,04-02-2024 20:04:26,6.743s,PASSED
closeBrowser(),Chrome 121.0.0.0,,,04-02-2024 20:04:26,04-02-2024 20:04:26,0.225s,PASSED
Start listener action : sampleAfterTestCase,Chrome 121.0.0.0,,,04-02-2024 20:04:26,04-02-2024 20:04:26,0.032s,ERROR
