Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TC_Amazon_validating_Logo_004,Chrome 121.0.0.0,,,05-02-2024 23:40:54,05-02-2024 23:42:03,1m - 8.630s,PASSED
,,,,,,,
Test Cases/Amazon_testcases/TC_Amazon_validating_Logo_004,Chrome 121.0.0.0,,,05-02-2024 23:41:01,05-02-2024 23:42:03,1m - 2.482s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 121.0.0.0,,,05-02-2024 23:41:01,05-02-2024 23:41:35,34.827s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/AmazonPages_LogoOR/Page_Amazon.com. Spend less. Smile more/a_us""), 0)",Chrome 121.0.0.0,,,05-02-2024 23:41:35,05-02-2024 23:41:57,21.524s,PASSED
Start listener action : sampleAfterTestCase,Chrome 121.0.0.0,,,05-02-2024 23:41:57,05-02-2024 23:42:03,6.067s,PASSED
