Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TC_Amazon_validating_Login_005,Edge Chromium 121,,,05-02-2024 23:57:44,05-02-2024 23:58:11,27.269s,PASSED
,,,,,,,
Test Cases/Amazon_testcases/TC_Amazon_validating_Login_005,Edge Chromium 121,,,05-02-2024 23:57:51,05-02-2024 23:58:11,20.307s,PASSED
Start listener action : sampleBeforeTestCase,Edge Chromium 121,,,05-02-2024 23:57:51,05-02-2024 23:58:00,8.487s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/AmazonPages_login_OR/Page_Amazon.com. Spend less. Smile more/span_Hello, Madhusri""), 0)",Edge Chromium 121,,,05-02-2024 23:58:00,05-02-2024 23:58:06,6.510s,PASSED
Start listener action : sampleAfterTestCase,Edge Chromium 121,,,05-02-2024 23:58:06,05-02-2024 23:58:11,5.234s,PASSED
